decaimiento (us);evento;evento restado
40008;1707959574;1104
1460;1707959575;1105
40011;1707959575;1105
40008;1707959576;1106
40008;1707959577;1107
40012;1707959578;1108
40011;1707959579;1109
40010;1707959580;1110
40012;1707959581;1111
40011;1707959582;1112
40012;1707959583;1113
40008;1707959584;1114
40009;1707959585;1115
40016;1707959586;1116
40007;1707959587;1117
40008;1707959588;1118
40011;1707959589;1119
40009;1707959590;1120
40007;1707959591;1121
40005;1707959592;1122
40007;1707959593;1123
40009;1707959594;1124
40003;1707959595;1125
40009;1707959596;1126
40013;1707959597;1127
40008;1707959598;1128
40011;1707959599;1129
40005;1707959600;1130
40003;1707959601;1131
40008;1707959602;1132
40011;1707959603;1133
40005;1707959604;1134
40008;1707959605;1135
40012;1707959606;1136
40008;1707959607;1137
2000;1707959608;1138
40006;1707959609;1139
40008;1707959610;1140
40007;1707959611;1141
40005;1707959612;1142
40003;1707959613;1143
40006;1707959614;1144
40011;1707959615;1145
40007;1707959616;1146
40004;1707959617;1147
40006;1707959618;1148
40006;1707959619;1149
40007;1707959620;1150
40007;1707959621;1151
40014;1707959622;1152
40003;1707959623;1153
40005;1707959624;1154
40005;1707959625;1155
40005;1707959626;1156
40011;1707959627;1157
40008;1707959628;1158
40005;1707959629;1159
40010;1707959630;1160
40003;1707959631;1161
40015;1707959632;1162
40007;1707959633;1163
40007;1707959634;1164
40008;1707959635;1165
40010;1707959636;1166
40004;1707959637;1167
220;1707959637;1167
40015;1707959638;1168
40008;1707959639;1169
40005;1707959640;1170
40008;1707959641;1171
40008;1707959642;1172
40006;1707959643;1173
40005;1707959644;1174
40004;1707959645;1175
40004;1707959646;1176
40004;1707959647;1177
40010;1707959648;1178
40007;1707959649;1179
40008;1707959650;1180
40007;1707959651;1181
40007;1707959652;1182
40010;1707959653;1183
40007;1707959654;1184
40009;1707959655;1185
40006;1707959656;1186
40007;1707959657;1187
40006;1707959658;1188
40007;1707959659;1189
40009;1707959660;1190
40010;1707959661;1191
40001;1707959662;1192
40008;1707959663;1193
40005;1707959664;1194
40008;1707959665;1195
40010;1707959666;1196
40011;1707959667;1197
40007;1707959668;1198
40004;1707959669;1199
40007;1707959670;1200
40009;1707959671;1201
40005;1707959672;1202
40008;1707959673;1203
40007;1707959674;1204
40003;1707959675;1205
40007;1707959676;1206
40007;1707959677;1207
2000;1707959677;1207
40008;1707959678;1208
40006;1707959679;1209
40014;1707959680;1210
40006;1707959681;1211
40008;1707959682;1212
40006;1707959683;1213
40007;1707959684;1214
40008;1707959685;1215
40005;1707959686;1216
40009;1707959687;1217
40008;1707959688;1218
40006;1707959689;1219
40007;1707959690;1220
40007;1707959691;1221
40010;1707959692;1222
40009;1707959693;1223
40010;1707959694;1224
40002;1707959695;1225
40009;1707959696;1226
40008;1707959697;1227
40006;1707959698;1228
40009;1707959699;1229
40003;1707959700;1230
40008;1707959701;1231
40007;1707959702;1232
40011;1707959703;1233
40008;1707959704;1234
40004;1707959705;1235
40007;1707959706;1236
40007;1707959707;1237
40008;1707959708;1238
40010;1707959709;1239
40008;1707959710;1240
40006;1707959711;1241
40011;1707959712;1242
40010;1707959713;1243
40009;1707959714;1244
40010;1707959715;1245
40006;1707959716;1246
40013;1707959717;1247
40009;1707959718;1248
40004;1707959719;1249
40012;1707959720;1250
40005;1707959721;1251
